sample,wavelength,trial1,trial2,trial3
FAM-NanoBiT,385,0.0026930378349741,6.486766995329527e-05,0.0037153652392947
FAM-NanoBiT,390,0.0046355569290539,0.0036325895173845,0.0017002518891687
FAM-NanoBiT,395,0.0039733345106176,0.0056434872859366,0.0045340050377833
FAM-NanoBiT,400,0.0022074080614542,0.00551375194603,0.010264483627204
FAM-NanoBiT,405,0.0154077082689505,0.0138168137000518,0.0133501259445843
FAM-NanoBiT,410,0.0304180830868394,0.0264660093409444,0.018073047858942
FAM-NanoBiT,415,0.0488720144805968,0.0457965749870264,0.0315491183879093
FAM-NanoBiT,420,0.0797757273409562,0.0579268292682926,0.0652392947103274
FAM-NanoBiT,425,0.0955366208997395,0.0794628956927867,0.0963476070528967
FAM-NanoBiT,430,0.0963754359630921,0.0919823559937727,0.0702141057934508
FAM-NanoBiT,435,0.1419804865127367,0.1106642449403217,0.0981108312342569
FAM-NanoBiT,440,0.1537680455609024,0.1259730150492994,0.1309193954659949
FAM-NanoBiT,445,0.1237472959251247,0.1288271925272444,0.1175062972292191
FAM-NanoBiT,450,0.1782702750430444,0.1381032693305656,0.1067380352644836
FAM-NanoBiT,455,0.1236148514414374,0.1394654903995848,0.1236775818639798
FAM-NanoBiT,460,0.1330184097832325,0.1051504929942916,0.1348236775818639
FAM-NanoBiT,465,0.099951437022648,0.0883497664763881,0.0970403022670025
FAM-NanoBiT,470,0.0861772107191735,0.0902309289050337,0.0922544080604534
FAM-NanoBiT,475,0.1102821067502538,0.0725220550077841,0.0749370277078085
FAM-NanoBiT,480,0.0934175091607434,0.0800467047223663,0.1050377833753148
FAM-NanoBiT,485,0.1271025561785351,0.0934094447327452,0.1052896725440806
FAM-NanoBiT,490,0.1312524833340691,0.1295407368967306,0.16272040302267
FAM-NanoBiT,495,0.1838329433579091,0.2572003113648158,0.2227329974811083
FAM-NanoBiT,500,0.3473577325504393,0.3628697457187337,0.3459068010075566
FAM-NanoBiT,505,0.5282768972672288,0.5572132848988064,0.5508186397984887
FAM-NanoBiT,510,0.758465409915677,0.6842890503373119,0.6914357682619647
FAM-NanoBiT,515,0.9289656085824024,0.9207317073170732,0.8115239294710328
FAM-NanoBiT,520,1.0,1.0,1.0
FAM-NanoBiT,525,0.9753653260341708,0.96023611831863,0.9938287153652392
FAM-NanoBiT,530,0.8922343384398039,0.939997405293202,0.8630982367758187
FAM-NanoBiT,535,0.8281312083351728,0.8072132848988064,0.8309193954659949
FAM-NanoBiT,540,0.7788177122422851,0.6645692786715102,0.6569899244332493
FAM-NanoBiT,545,0.6532161935455388,0.655098598858329,0.6460327455919396
FAM-NanoBiT,550,0.5922475828881727,0.5446289569278672,0.5557934508816121
FAM-NanoBiT,555,0.5130016334819655,0.4962376751427089,0.4867758186397984
FAM-NanoBiT,560,0.4840404397156858,0.4361702127659574,0.4272670025188917
FAM-NanoBiT,565,0.383161891307227,0.4322132848988064,0.3367758186397985
FAM-NanoBiT,570,0.3697849984548144,0.398287493513233,0.329911838790932
FAM-NanoBiT,575,0.3202066133945521,0.3252464971458225,0.2578715365239294
FAM-NanoBiT,580,0.2814445278354157,0.3179813181110534,0.2748740554156171
FAM-NanoBiT,585,0.240519182376054,0.2127010897768552,0.183816120906801
FAM-NanoBiT,590,0.1880711668359012,0.1542553191489361,0.2451511335012594
FAM-NanoBiT,595,0.1772107191735464,0.1457576543850545,0.1748110831234257
FAM-NanoBiT,600,0.1576972319102909,0.1569797612869745,0.1924433249370277
Cou343-NanoBiT,300,0.0247678018575851,0.0268804527234142,0.065560359939231
Cou343-NanoBiT,305,0.0265369305616983,0.0760433859938693,0.0525885240154259
Cou343-NanoBiT,310,0.0005897095680377,0.0049516623437868,0.0068949398153558
Cou343-NanoBiT,315,0.0057496682883679,0.0075453902381513,0.0073623933621596
Cou343-NanoBiT,320,0.0005897095680377,0.0128507427493515,0.0047913988547388
Cou343-NanoBiT,325,0.0165118679050567,0.0124970525819382,0.0033890382143274
Cou343-NanoBiT,330,0.0263895031696889,0.0003536901674133,0.0003505901601028
Cou343-NanoBiT,335,0.0060445230723868,0.0002357934449422,0.0002337267734018
Cou343-NanoBiT,340,0.0002948547840188,0.0062485262909691,0.0054925791749444
Cou343-NanoBiT,345,0.0047176765443019,0.0035369016741334,0.0011686338670094
Cou343-NanoBiT,350,0.0039805395842547,0.0002357934449422,0.0049082622414397
Cou343-NanoBiT,355,0.0004422821760283,0.0058948361235557,0.0040902185345331
Cou343-NanoBiT,360,0.0038331121922453,0.0030653147842489,0.0116863386700946
Cou343-NanoBiT,365,0.0022114108801415,0.0062485262909691,0.001986677573916
Cou343-NanoBiT,370,0.003390830016217,0.0015326573921244,0.0002337267734018
Cou343-NanoBiT,375,0.0053073861123396,0.0018863475595378,0.0057263059483463
Cou343-NanoBiT,380,0.0001474273920094,0.0014147606696533,0.0268785789412177
Cou343-NanoBiT,385,0.0042753943682736,0.005187455788729,0.0007011803202056
Cou343-NanoBiT,390,0.0051599587203302,0.0109643951898137,0.0016360874138132
Cou343-NanoBiT,395,0.0224089635854341,0.0107286017448714,0.0165946009115344
Cou343-NanoBiT,400,0.0461447736989532,0.0254656920537609,0.0354096061703868
Cou343-NanoBiT,405,0.0431962258587645,0.0506955906625795,0.0400841416384246
Cou343-NanoBiT,410,0.0635412059560666,0.0768686630511671,0.0950099333878695
Cou343-NanoBiT,415,0.1577473094500958,0.1295684979957557,0.1807876592263644
Cou343-NanoBiT,420,0.2422232050715022,0.238269276114124,0.2344279537220988
Cou343-NanoBiT,425,0.3501400560224089,0.3053525112001886,0.2946125978730863
Cou343-NanoBiT,430,0.3381984372696447,0.3564017920301816,0.3524599742900549
Cou343-NanoBiT,435,0.4792864514226743,0.4023815137939165,0.4204744653500058
Cou343-NanoBiT,440,0.462922010909627,0.4899787785899552,0.4409255580226714
Cou343-NanoBiT,445,0.5535898569954297,0.50106107050224,0.5756690428888629
Cou343-NanoBiT,450,0.6380657526168362,0.4605045979721763,0.529508005141989
Cou343-NanoBiT,455,0.5422379478107032,0.5725064843197359,0.6726656538506486
Cou343-NanoBiT,460,0.6579684505381099,0.5425607168120726,0.5200420708192124
Cou343-NanoBiT,465,0.5637623470440808,0.4609761848620608,0.5831482996377235
Cou343-NanoBiT,470,0.6168362081674775,0.6016269747701014,0.5801098515834989
Cou343-NanoBiT,475,0.7706029780333186,0.7306059891535015,0.7310973472011218
Cou343-NanoBiT,480,0.8425475453339231,0.8611176609290262,0.8829028865256515
